2023-10-06 11:33:10.029 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:33:10.473 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 72478750-3cc5-425c-8930-d5f2e192024e is creating 
2023-10-06 11:33:10.628 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:33:11.097 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 44668d89-2780-4c19-8c18-cc7af804c41b is creating 
2023-10-06 11:33:11.098 [main] INFO  o.e.c.c.RabbitMqConnectionPool(62) -  Create InternalPool with 3 Connection in Pool
2023-10-06 11:33:11.099 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(100) -   Object Connection 44668d89-2780-4c19-8c18-cc7af804c41b is calling !
2023-10-06 11:33:11.100 [main] INFO  o.e.c.c.RabbitMqConnectionPool(85) -   Quantity connection Active in Connection pool: 1
2023-10-06 11:33:11.100 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(106) -   Object Connection 44668d89-2780-4c19-8c18-cc7af804c41b is returning !
2023-10-06 11:33:11.261 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 1 is creating 
2023-10-06 11:33:11.414 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 2 is creating 
2023-10-06 11:33:11.568 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 3 is creating 
2023-10-06 11:33:11.722 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 4 is creating 
2023-10-06 11:33:11.875 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 5 is creating 
2023-10-06 11:33:12.028 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 6 is creating 
2023-10-06 11:33:12.181 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 7 is creating 
2023-10-06 11:33:12.335 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 8 is creating 
2023-10-06 11:33:12.489 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 9 is creating 
2023-10-06 11:33:12.643 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 10 is creating 
2023-10-06 11:33:12.644 [main] INFO  o.e.config.channel.ChannelPool(57) -  Create InternalPool with 10 Channel in Pool
2023-10-06 11:33:12.650 [main] INFO  o.e.c.PaymentController(32) -  Server is running on port 8080
2023-10-06 11:33:50.315 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:33:50.827 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 872990e8-5d0d-40ef-b339-323ea8ced142 is creating 
2023-10-06 11:33:50.971 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:33:51.388 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 5ef01f17-4ccc-43fd-b2c1-673cd07ab196 is creating 
2023-10-06 11:33:51.534 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:33:51.958 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection a8c1a9b7-e821-4ec8-a021-101b293fd973 is creating 
2023-10-06 11:33:51.959 [main] INFO  o.e.c.c.RabbitMqConnectionPool(62) -  Create InternalPool with 3 Connection in Pool
2023-10-06 11:33:51.960 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(100) -   Object Connection a8c1a9b7-e821-4ec8-a021-101b293fd973 is calling !
2023-10-06 11:33:51.961 [main] INFO  o.e.c.c.RabbitMqConnectionPool(85) -   Quantity connection Active in Connection pool: 1
2023-10-06 11:33:51.961 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(106) -   Object Connection a8c1a9b7-e821-4ec8-a021-101b293fd973 is returning !
2023-10-06 11:33:52.114 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 1 is creating 
2023-10-06 11:33:52.255 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 2 is creating 
2023-10-06 11:33:52.397 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 3 is creating 
2023-10-06 11:33:52.538 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 4 is creating 
2023-10-06 11:33:52.679 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 5 is creating 
2023-10-06 11:33:52.825 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 6 is creating 
2023-10-06 11:33:52.968 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 7 is creating 
2023-10-06 11:33:53.111 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 8 is creating 
2023-10-06 11:33:53.256 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 9 is creating 
2023-10-06 11:33:53.399 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 10 is creating 
2023-10-06 11:33:53.401 [main] INFO  o.e.config.channel.ChannelPool(57) -  Create InternalPool with 10 Channel in Pool
2023-10-06 11:33:53.413 [main] INFO  o.e.c.PaymentController(32) -  Server is running on port 8080
2023-10-06 11:36:00.321 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
